Date/Time;Oxygen;Amp;Tm [°C];p [mbar];Salinity [g/1000g];Error;Oxygen unit
3/6/2023 23:40:39;205.42;30479;23;979;39;0;7
3/6/2023 23:40:54;204.76;30518;23;979;39;0;7
3/6/2023 23:41:09;205.42;30431;23;979;39;0;7
3/6/2023 23:41:24;204.76;30419;23;979;39;0;7
3/6/2023 23:41:39;205.09;30484;23;979;39;0;7
3/6/2023 23:41:55;204.44;30479;23;979;39;0;7
3/6/2023 23:42:10;204.44;30459;23;979;39;0;7
3/6/2023 23:42:25;204.76;30430;23;979;39;0;7
3/6/2023 23:42:40;204.76;30445;23;979;39;0;7
3/6/2023 23:42:55;205.09;30504;23;979;39;0;7
3/6/2023 23:43:10;205.42;30490;23;979;39;0;7
3/6/2023 23:43:25;205.09;30473;23;979;39;0;7
3/6/2023 23:43:40;206.07;30513;23;979;39;0;7
3/6/2023 23:43:56;207.06;30462;23;979;39;0;7
3/6/2023 23:44:11;204.76;30436;23;979;39;0;7
3/6/2023 23:44:26;204.44;30450;23;979;39;0;7
3/6/2023 23:44:41;205.42;30396;23;979;39;0;7
3/6/2023 23:44:56;203.78;30504;23;979;39;0;7
3/6/2023 23:45:11;204.44;30459;23;979;39;0;7
3/6/2023 23:45:26;204.44;30498;23;979;39;0;7
3/6/2023 23:45:41;204.11;30467;23;979;39;0;7
3/6/2023 23:45:56;204.11;30410;23;979;39;0;7
3/6/2023 23:46:11;204.76;30450;23;979;39;0;7
3/6/2023 23:46:27;204.76;30419;23;979;39;0;7
3/6/2023 23:46:42;204.44;30535;23;979;39;0;7
3/6/2023 23:46:57;204.44;30470;23;979;39;0;7
3/6/2023 23:47:12;204.44;30473;23;979;39;0;7
3/6/2023 23:47:27;204.44;30476;23;979;39;0;7
3/6/2023 23:47:42;205.09;30388;23;979;39;0;7
3/6/2023 23:47:57;204.76;30447;23;979;39;0;7
3/6/2023 23:48:12;204.76;30515;23;979;39;0;7
3/6/2023 23:48:27;204.44;30447;23;979;39;0;7
3/6/2023 23:48:42;205.09;30481;23;979;39;0;7
3/6/2023 23:48:57;205.09;30504;23;979;39;0;7
3/6/2023 23:49:12;204.76;30513;23;979;39;0;7
3/6/2023 23:49:28;205.09;30459;23;979;39;0;7
3/6/2023 23:49:43;204.76;30490;23;979;39;0;7
3/6/2023 23:49:58;204.44;30473;23;979;39;0;7
3/6/2023 23:50:13;203.78;30447;23;979;39;0;7
3/6/2023 23:50:28;204.11;30504;23;979;39;0;7
3/6/2023 23:50:43;203.46;30464;23;979;39;0;7
3/6/2023 23:50:58;202.8;30532;23;979;39;0;7
3/6/2023 23:51:13;201.83;30475;23;979;39;0;7
3/6/2023 23:51:28;200.85;30512;23;979;39;0;7
3/6/2023 23:51:43;199.55;30526;23;979;39;0;7
3/6/2023 23:51:58;199.55;30546;23;979;39;0;7
3/6/2023 23:52:13;199.23;30492;23;979;39;0;7
3/6/2023 23:52:29;198.58;30526;23;979;39;0;7
3/6/2023 23:52:44;198.9;30478;23;979;39;0;7
3/6/2023 23:52:59;198.58;30537;23;979;39;0;7
3/6/2023 23:53:14;197.61;30486;23;979;39;0;7
3/6/2023 23:53:29;196.64;30611;23;979;39;0;7
3/6/2023 23:53:44;195.34;30608;23;979;39;0;7
3/6/2023 23:53:59;195.34;30554;23;979;39;0;7
3/6/2023 23:54:14;195.02;30546;23;979;39;0;7
3/6/2023 23:54:29;194.38;30628;23;979;39;0;7
3/6/2023 23:54:44;193.09;30563;23;979;39;0;7
3/6/2023 23:54:59;192.44;30574;23;979;39;0;7
3/6/2023 23:55:15;190.2;30636;23;979;39;0;7
3/6/2023 23:55:30;188.92;30747;23;979;39;0;7
3/6/2023 23:55:45;187.32;30665;23;979;39;0;7
3/6/2023 23:56:00;185.41;30747;23;979;39;0;7
3/6/2023 23:56:15;183.5;30744;23;979;39;0;7
3/6/2023 23:56:30;183.5;30795;23;979;39;0;7
3/6/2023 23:56:45;180.96;30844;23;979;39;0;7
3/6/2023 23:57:00;180.65;30855;23;979;39;0;7
3/6/2023 23:57:15;179.38;30773;23;979;39;0;7
3/6/2023 23:57:30;178.75;30855;23;979;39;0;7
3/6/2023 23:57:45;177.18;30909;23;979;39;0;7
3/6/2023 23:58:00;177.49;30872;23;979;39;0;7
3/6/2023 23:58:16;175.29;30992;23;979;39;0;7
3/6/2023 23:58:31;172.78;30992;23;979;39;0;7
3/6/2023 23:58:46;170.91;31066;23;979;39;0;7
3/6/2023 23:59:01;170.91;31055;23;979;39;0;7
3/6/2023 23:59:16;169.97;31069;23;979;39;0;7
3/6/2023 23:59:31;169.35;31075;23;979;39;0;7
3/6/2023 23:59:46;168.73;31061;23;979;39;0;7
3/7/2023 0:00:01;169.04;31044;23;979;39;0;7
3/7/2023 0:00:16;167.8;31129;23;979;39;0;7
3/7/2023 0:00:31;165.62;31027;23;979;39;0;7
3/7/2023 0:00:46;164.7;31138;23;979;39;0;7
3/7/2023 0:01:01;163.77;31042;23;979;39;0;7
3/7/2023 0:01:17;162.84;31130;23;979;39;0;7
3/7/2023 0:01:32;161.92;31119;23;979;39;0;7
3/7/2023 0:01:47;161.3;31105;23;979;39;0;7
3/7/2023 0:02:02;160.99;31202;23;979;39;0;7
3/7/2023 0:02:17;161.61;31082;23;979;39;0;7
3/7/2023 0:02:32;161.92;31181;23;979;39;0;7
3/7/2023 0:02:47;162.84;31144;23;979;39;0;7
3/7/2023 0:03:02;163.15;31167;23;979;39;0;7
3/7/2023 0:03:17;163.77;31155;23;979;39;0;7
3/7/2023 0:03:32;163.77;31181;23;979;39;0;7
3/7/2023 0:03:47;164.7;31048;23;979;39;0;7
3/7/2023 0:04:02;165.93;31042;23;979;39;0;7
3/7/2023 0:04:18;170.6;31171;23;979;39;0;7
3/7/2023 0:04:33;172.47;31224;23;979;39;0;7
3/7/2023 0:04:48;174.98;31218;23;979;39;0;7
3/7/2023 0:05:03;170.6;31196;23;979;39;0;7
3/7/2023 0:05:18;170.29;31228;23;979;39;0;7
3/7/2023 0:05:33;165.62;31132;23;979;39;0;7
