Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fo'1;Fo'2;Fo'3;Fo'4;Fo'5;Fo'6;Fo'7;Fo'8;Fo'9;Fo'10;Fo'11;Fo'12;Fo'13;Fo'14;Fo'15;Fo'16;Fo'17;Fo'18;Fo'19;Fo'20;Fo'21;Fo'22;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NPQ)5;Y(NPQ)6;Y(NPQ)7;Y(NPQ)8;Y(NPQ)9;Y(NPQ)10;Y(NPQ)11;Y(NPQ)12;Y(NPQ)13;Y(NPQ)14;Y(NPQ)15;Y(NPQ)16;Y(NPQ)17;Y(NPQ)18;Y(NPQ)19;Y(NPQ)20;Y(NPQ)21;Y(NPQ)22;ETR1;ETR2;ETR3;ETR4;ETR5;ETR6;ETR7;ETR8;ETR9;ETR10;ETR11;ETR12;ETR13;ETR14;ETR15;ETR16;ETR17;ETR18;ETR19;ETR20;ETR21;ETR22;
05.05.23;17:40:23;1;0;0.0873;0.1000;0.1176;0.1049;0.0520;0.0887;0.1245;0.0892;0.0627;0.0819;0.0814;0.0593;0.1093;0.1211;0.0961;0.1020;0.0755;0.0804;0.0667;0.0701;0.0618;0.0564;0.1554;0.1775;0.2328;0.1931;0.1039;0.1265;0.1559;0.1824;0.1201;0.1637;0.1525;0.0838;0.1716;0.2245;0.1917;0.2123;0.1627;0.1397;0.1206;0.1294;0.1127;0.1142;0.0873;0.1000;0.1176;0.1049;0.0520;0.0887;0.1245;0.0892;0.0627;0.0819;0.0814;0.0593;0.1093;0.1211;0.0961;0.1020;0.0755;0.0804;0.0667;0.0701;0.0618;0.0564;0.438;0.436;0.495;0.457;0.500;0.298;0.201;0.511;0.478;0.500;0.466;0.292;0.363;0.461;0.499;0.520;0.536;0.425;0.447;0.458;0.452;0.506;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;
05.05.23;17:43:27;2;1;0.0877;0.0985;0.1127;0.1069;0.0510;0.0877;0.1304;0.0887;0.0696;0.0833;0.0877;0.0569;0.1078;0.1245;0.1015;0.1034;0.0760;0.0848;0.0745;0.0804;0.0593;0.0613;0.1480;0.1721;0.2324;0.1951;0.1059;0.1265;0.1549;0.1696;0.1152;0.1676;0.1564;0.0799;0.1632;0.2235;0.1980;0.2176;0.1608;0.1397;0.1240;0.1353;0.1064;0.1191;0.0849;0.0983;0.1175;0.1055;0.0524;0.0887;0.1239;0.0861;0.0614;0.0828;0.0825;0.0573;0.1059;0.1208;0.0977;0.1032;0.0751;0.0804;0.0677;0.0718;0.0598;0.0575;0.407;0.427;0.515;0.452;0.519;0.306;0.158;0.477;0.396;0.503;0.439;0.288;0.339;0.443;0.488;0.525;0.527;0.393;0.399;0.406;0.442;0.486;0.011;0.007;0.000;0.000;0.000;0.000;0.001;0.037;0.010;0.000;0.000;0.004;0.030;0.001;0.000;0.000;0.003;0.000;0.000;0.000;0.010;0.000;  0.2;  0.2;  0.3;  0.2;  0.3;  0.2;  0.1;  0.2;  0.2;  0.3;  0.2;  0.1;  0.2;  0.2;  0.2;  0.3;  0.3;  0.2;  0.2;  0.2;  0.2;  0.2;
05.05.23;17:46:29;3;21;0.0819;0.0966;0.1225;0.0975;0.0544;0.0662;0.1353;0.0971;0.0608;0.0887;0.0858;0.0480;0.0843;0.1186;0.1029;0.1127;0.0814;0.0755;0.0745;0.0814;0.0623;0.0672;0.1216;0.1343;0.2157;0.1387;0.1005;0.0794;0.1373;0.1549;0.0868;0.1564;0.1338;0.0510;0.1123;0.1696;0.1804;0.2152;0.1598;0.1044;0.1044;0.1113;0.0907;0.1054;0.0755;0.0847;0.1131;0.0865;0.0511;0.0627;0.1123;0.0821;0.0523;0.0800;0.0757;0.0407;0.0818;0.1031;0.0932;0.1026;0.0749;0.0673;0.0614;0.0644;0.0545;0.0541;0.327;0.281;0.432;0.297;0.459;0.167;0.000;0.373;0.299;0.433;0.359;0.000;0.249;0.301;0.429;0.476;0.491;0.277;0.286;0.269;0.314;0.363;0.148;0.173;0.042;0.198;0.009;0.311;0.124;0.093;0.192;0.012;0.079;0.391;0.261;0.172;0.033;0.000;0.004;0.185;0.096;0.100;0.136;0.047;  3.4;  3.0;  4.5;  3.1;  4.8;  1.8;  0.0;  3.9;  3.1;  4.5;  3.8;  0.0;  2.6;  3.2;  4.5;  5.0;  5.2;  2.9;  3.0;  2.8;  3.3;  3.8;
05.05.23;17:49:32;4;56;0.0725;0.0902;0.1167;0.0897;0.0583;0.0603;0.1358;0.0971;0.0559;0.0902;0.0799;0.0407;0.0735;0.1059;0.1029;0.1157;0.0838;0.0725;0.0676;0.0730;0.0608;0.0672;0.1074;0.1294;0.2211;0.1216;0.1054;0.0681;0.1333;0.1485;0.0799;0.1637;0.1186;0.0436;0.0922;0.1549;0.1809;0.2240;0.1662;0.0907;0.1029;0.1127;0.0941;0.1074;0.0697;0.0827;0.1146;0.0795;0.0523;0.0554;0.1097;0.0803;0.0497;0.0819;0.0706;0.0359;0.0706;0.0975;0.0933;0.1046;0.0762;0.0613;0.0609;0.0649;0.0557;0.0546;0.324;0.303;0.472;0.262;0.447;0.115;0.000;0.347;0.301;0.449;0.326;0.000;0.202;0.316;0.431;0.484;0.496;0.200;0.343;0.352;0.354;0.374;0.211;0.190;0.025;0.275;0.000;0.348;0.147;0.123;0.234;0.000;0.149;0.481;0.369;0.213;0.033;0.000;0.000;0.278;0.096;0.082;0.108;0.014;  9.1;  8.5; 13.2;  7.3; 12.5;  3.2;  0.0;  9.7;  8.4; 12.6;  9.1;  0.0;  5.7;  8.9; 12.1; 13.5; 13.9;  5.6;  9.6;  9.9;  9.9; 10.5;
05.05.23;17:52:34;5;111;0.0657;0.0853;0.1230;0.0745;0.0623;0.0529;0.1338;0.0956;0.0534;0.0912;0.0676;0.0387;0.0637;0.0971;0.0995;0.1196;0.0887;0.0637;0.0667;0.0711;0.0608;0.0632;0.0838;0.1083;0.2191;0.0951;0.1113;0.0598;0.1265;0.1422;0.0623;0.1627;0.0931;0.0363;0.0750;0.1255;0.1539;0.2201;0.1691;0.0725;0.0902;0.1049;0.0858;0.1010;0.0590;0.0736;0.1140;0.0672;0.0537;0.0498;0.1050;0.0784;0.0422;0.0816;0.0607;0.0308;0.0601;0.0849;0.0856;0.1037;0.0768;0.0525;0.0562;0.0622;0.0527;0.0529;0.216;0.213;0.438;0.216;0.441;0.115;0.000;0.328;0.142;0.440;0.274;0.000;0.150;0.227;0.354;0.457;0.475;0.122;0.261;0.322;0.291;0.374;0.360;0.308;0.033;0.399;0.000;0.412;0.190;0.148;0.412;0.002;0.284;0.569;0.478;0.340;0.129;0.000;0.000;0.422;0.184;0.129;0.170;0.070; 12.0; 11.8; 24.3; 12.0; 24.4;  6.4;  0.0; 18.2;  7.9; 24.4; 15.2;  0.0;  8.3; 12.6; 19.6; 25.3; 26.4;  6.8; 14.5; 17.9; 16.2; 20.7;
05.05.23;17:55:37;6;186;0.0578;0.0750;0.1235;0.0696;0.0657;0.0539;0.1309;0.0902;0.0466;0.0912;0.0618;0.0353;0.0598;0.0863;0.0892;0.1172;0.0922;0.0578;0.0588;0.0637;0.0583;0.0588;0.0711;0.0907;0.1975;0.0779;0.0990;0.0554;0.1201;0.1211;0.0569;0.1490;0.0730;0.0304;0.0627;0.0990;0.1211;0.1902;0.1490;0.0613;0.0696;0.0799;0.0770;0.0799;0.0524;0.0650;0.1079;0.0582;0.0507;0.0467;0.1006;0.0715;0.0397;0.0780;0.0515;0.0264;0.0519;0.0719;0.0744;0.0966;0.0724;0.0463;0.0475;0.0525;0.0492;0.0465;0.186;0.173;0.375;0.107;0.337;0.000;0.000;0.255;0.181;0.388;0.154;0.000;0.000;0.129;0.263;0.384;0.382;0.000;0.155;0.202;0.242;0.264;0.442;0.405;0.093;0.532;0.011;0.563;0.230;0.249;0.432;0.054;0.439;0.637;0.635;0.488;0.271;0.062;0.053;0.563;0.358;0.307;0.242;0.220; 17.3; 16.1; 34.8;  9.9; 31.3;  0.0;  0.0; 23.7; 16.8; 36.1; 14.4;  0.0;  0.0; 12.0; 24.5; 35.7; 35.5;  0.0; 14.4; 18.8; 22.5; 24.5;
05.05.23;17:58:40;7;281;0.0529;0.0662;0.1137;0.0608;0.0637;0.0539;0.1230;0.0775;0.0377;0.0809;0.0505;0.0299;0.0554;0.0725;0.0765;0.1029;0.0838;0.0505;0.0500;0.0495;0.0515;0.0520;0.0574;0.0755;0.1623;0.0608;0.0912;0.0495;0.1152;0.0936;0.0407;0.1167;0.0588;0.0275;0.0569;0.0799;0.0941;0.1485;0.1147;0.0505;0.0539;0.0623;0.0667;0.0647;0.0445;0.0568;0.0964;0.0481;0.0486;0.0424;0.0971;0.0610;0.0311;0.0681;0.0440;0.0242;0.0478;0.0613;0.0632;0.0845;0.0632;0.0399;0.0396;0.0442;0.0448;0.0409;0.077;0.123;0.299;0.000;0.301;0.000;0.000;0.173;0.000;0.307;0.142;0.000;0.000;0.092;0.188;0.307;0.269;0.000;0.000;0.205;0.228;0.197;0.554;0.503;0.213;0.686;0.086;0.608;0.265;0.401;0.660;0.200;0.526;0.673;0.669;0.551;0.414;0.207;0.217;0.639;0.553;0.413;0.315;0.349; 10.8; 17.3; 42.0;  0.0; 42.3;  0.0;  0.0; 24.3;  0.0; 43.1; 19.9;  0.0;  0.0; 12.9; 26.3; 43.1; 37.8;  0.0;  0.0; 28.8; 32.0; 27.7;
05.05.23;18:01:42;8;336;0.0461;0.0603;0.0971;0.0534;0.0637;0.0500;0.1162;0.0696;0.0382;0.0721;0.0456;0.0284;0.0534;0.0632;0.0657;0.0936;0.0725;0.0466;0.0417;0.0461;0.0471;0.0480;0.0539;0.0672;0.1304;0.0549;0.0887;0.0559;0.1069;0.0809;0.0397;0.0990;0.0520;0.0265;0.0534;0.0735;0.0775;0.1333;0.1000;0.0451;0.0446;0.0539;0.0608;0.0525;0.0424;0.0519;0.0842;0.0443;0.0479;0.0470;0.0911;0.0553;0.0305;0.0617;0.0400;0.0234;0.0454;0.0575;0.0552;0.0794;0.0585;0.0364;0.0343;0.0399;0.0421;0.0357;0.145;0.102;0.256;0.000;0.282;0.105;0.000;0.139;0.000;0.272;0.123;0.000;0.000;0.140;0.152;0.298;0.275;0.000;0.000;0.145;0.226;0.084;0.508;0.520;0.327;0.716;0.105;0.454;0.313;0.479;0.669;0.288;0.536;0.684;0.689;0.578;0.505;0.262;0.280;0.678;0.631;0.437;0.355;0.456; 24.4; 17.2; 42.9;  0.0; 47.3; 17.7;  0.0; 23.4;  0.0; 45.7; 20.6;  0.0;  0.0; 23.5; 25.5; 50.0; 46.1;  0.0;  0.0; 24.4; 37.9; 14.1;
05.05.23;18:04:45;9;396;0.0426;0.0583;0.0912;0.0525;0.0578;0.0549;0.1098;0.0623;0.0363;0.0657;0.0397;0.0289;0.0505;0.0603;0.0583;0.0828;0.0691;0.0451;0.0377;0.0402;0.0446;0.0397;0.0451;0.0578;0.1113;0.0525;0.0750;0.0495;0.1005;0.0770;0.0358;0.0804;0.0412;0.0279;0.0500;0.0637;0.0691;0.1118;0.0887;0.0392;0.0392;0.0451;0.0480;0.0466;0.0368;0.0462;0.0758;0.0427;0.0436;0.0424;0.0864;0.0534;0.0281;0.0539;0.0333;0.0246;0.0429;0.0513;0.0509;0.0712;0.0544;0.0325;0.0310;0.0348;0.0355;0.0328;0.000;0.000;0.181;0.000;0.229;0.000;0.000;0.191;0.000;0.183;0.000;0.000;0.000;0.000;0.156;0.259;0.221;0.000;0.000;0.109;0.000;0.147;0.710;0.674;0.428;0.728;0.217;0.608;0.354;0.467;0.702;0.416;0.730;0.668;0.709;0.716;0.540;0.350;0.354;0.719;0.674;0.542;0.574;0.446;  0.0;  0.0; 35.8;  0.0; 45.3;  0.0;  0.0; 37.8;  0.0; 36.2;  0.0;  0.0;  0.0;  0.0; 30.9; 51.2; 43.8;  0.0;  0.0; 21.5;  0.0; 29.2;
05.05.23;18:07:47;10;461;0.0387;0.0520;0.0809;0.0495;0.0588;0.0554;0.1029;0.0559;0.0324;0.0569;0.0363;0.0250;0.0520;0.0539;0.0520;0.0740;0.0613;0.0417;0.0338;0.0382;0.0407;0.0353;0.0392;0.0539;0.0995;0.0534;0.0642;0.0461;0.0971;0.0672;0.0387;0.0672;0.0387;0.0245;0.0471;0.0583;0.0593;0.0931;0.0740;0.0392;0.0358;0.0382;0.0412;0.0397;0.0328;0.0436;0.0702;0.0433;0.0397;0.0399;0.0839;0.0485;0.0299;0.0476;0.0317;0.0219;0.0407;0.0477;0.0454;0.0632;0.0485;0.0325;0.0289;0.0306;0.0316;0.0293;0.000;0.000;0.187;0.000;0.084;0.000;0.000;0.168;0.165;0.153;0.000;0.000;0.000;0.076;0.124;0.205;0.172;0.000;0.000;0.000;0.000;0.111;0.748;0.696;0.465;0.724;0.296;0.635;0.380;0.525;0.513;0.500;0.746;0.707;0.726;0.665;0.566;0.447;0.450;0.719;0.703;0.705;0.635;0.542;  0.0;  0.0; 43.1;  0.0; 19.4;  0.0;  0.0; 38.7; 37.9; 35.3;  0.0;  0.0;  0.0; 17.4; 28.6; 47.3; 39.7;  0.0;  0.0;  0.0;  0.0; 25.6;
