Date,Sample.ID,PAM.ID,Resp.ID,Plate.ID,Chamber.ID,SDR,TemperatureCat,Type,Salinity,Run,Spat.ID.PAM,Spat.ID.Resp,Spat.Resp.ID,Volume,Size.mm2,Polyp.Number,Notes,Notes2,,,
20230505,Plate2-SpatA3,ETR3,SpatA3,Plate2,A3,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR3,,SDR-641-A3,0.00008,1.941,7,,4x,,,
20230505,Plate2-SpatB3,ETR8,SpatB3,Plate2,B3,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR8,,SDR-641-B3,0.00008,2.836,8,,2x,,,
20230505,Plate2-SpatC3,ETR14,SpatC3,Plate2,C3,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR14,,SDR-641-C3,0.00008,2.406,7,,4x,,,
20230505,BLNK-4,NA,BLNK-4,Plate2,D3,SDR-641,23,Blank,39,Plate2,20230505_Plate2_NA,,SDR-641-D3,0.00008,NA,NA,,NA,,,
20230505,Plate2-SpatA4,ETR4,SpatA4,Plate2,A4,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR4,,SDR-641-A4,0.00008,2.256,5,,4x,,,
20230505,Plate2-SpatB4,ETR9,SpatB4,Plate2,B4,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR9,,SDR-641-B4,0.00008,2.074,3,,4x,,,
20230505,Plate2-SpatC4,ETR15,SpatC4,Plate2,C4,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR15,,SDR-641-C4,0.00008,2.038,9,,4x,,,
20230505,Plate2-SpatD4,ETR20,SpatD4,Plate2,D4,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR20,,SDR-641-D4,0.00008,1.857,7,,4x,,,
20230505,Plate2-SpatA5,ETR5,SpatA5,Plate2,A5,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR5,,SDR-641-A5,0.00008,1.515,4,,4x,,,
20230505,Plate2-SpatB5,ETR10,SpatB5,Plate2,B5,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR10,,SDR-641-B5,0.00008,3.04,10,,2x,,,
20230505,Plate2-SpatC5,ETR16,SpatC5,Plate2,C5,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR16,,SDR-641-C5,0.00008,3.192,10,,2x,,,
20230505,Plate2-SpatD5,ETR21,SpatD5,Plate2,D5,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR21,,SDR-641-D5,0.00008,1.532,4,,4x,,,
20230505,Plate2-SpatA6,ETR6,SpatA6,Plate2,A6,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR6,,SDR-641-A6,0.00008,1.709,1,Pale/bleach,4x,,,
20230505,Plate2-SpatB6,ETR11,SpatB6,Plate2,B6,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR11,,SDR-641-B6,0.00008,2.564,7,,2x,,,
20230505,Plate2-SpatC6,ETR17,SpatC6,Plate2,C6,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR17,,SDR-641-C6,0.00008,1.999,7,,4x,,,
20230505,Plate2-SpatD6,ETR22,SpatD6,Plate2,D6,SDR-641,23,Coral,39,Plate2,20230505_Plate2_ETR22,,SDR-641-D6,0.00008,1.625,4,,4x,,,
20230510,Plate3-SpatA1,ETR1,SpatA1,Plate3,A1,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR1,,SDR-710-A1,0.00008,0.504,1,,,,,
20230510,Plate3-SpatA2,ETR2,SpatA2,Plate3,A2,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR2,,SDR-710-A2,0.00008,1.889,5,,,,,
20230510,Plate3-SpatA3,ETR3,SpatA3,Plate3,A3,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR3,,SDR-710-A3,0.00008,2.3,7,,,,,
20230510,Plate3-SpatA4,ETR4,SpatA4,Plate3,A4,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR4,,SDR-710-A4,0.00008,4.8335,7,,,,,
20230510,BLK-5,NA,BLK-5,Plate3,A5,SDR-710,23,Blank,39,Plate3,20230510_Plate3_NA,,SDR-710-A5,0.00008,NA,NA,,,,,
20230510,Plate3-SpatA6,ETR5,SpatA6,Plate3,A6,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR5,,SDR-710-A6,0.00008,3.975,9,,,,,
20230510,Plate3-SpatB1,ETR6,SpatB1,Plate3,B1,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR6,,SDR-710-B1,0.00008,1.986,1,,,,,
20230510,Plate3-SpatB2,ETR7,SpatB2,Plate3,B2,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR7,,SDR-710-B2,0.00008,3.156,4,,,,,
20230510,Plate3-SpatB3,ETR8,SpatB3,Plate3,B3,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR8,,SDR-710-B3,0.00008,1.8695,2,,,,,
20230510,Plate3-SpatB4,ETR9,SpatB4,Plate3,B4,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR9,,SDR-710-B4,0.00008,4.746,8,,,,,
20230510,Plate3-SpatB5,ETR10,SpatB5,Plate3,B5,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR10,,SDR-710-B5,0.00008,5.1165,5,,,,,
20230510,Plate3-SpatB6,ETR11,SpatB6,Plate3,B6,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR11,,SDR-710-B6,0.00008,4.186,5,,,,,
20230510,Plate3-SpatC1,ETR12,SpatC1,Plate3,C1,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR12,,SDR-710-C1,0.00008,2.8285,5,,,,,
20230510,Plate3-SpatC2,ETR13,SpatC2,Plate3,C2,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR13,,SDR-710-C2,0.00008,2.188,5,,,,,
20230510,BLK-6,NA,BLK-6,Plate3,C3,SDR-710,23,Blank,39,Plate3,20230510_Plate3_NA,,SDR-710-C3,0.00008,NA,NA,,,,,
20230510,Plate3-SpatC4,ETR14,SpatC4,Plate3,C4,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR14,,SDR-710-C4,0.00008,5.43,7,,,,,
20230510,Plate3-SpatC5,ETR15,SpatC5,Plate3,C5,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR15,,SDR-710-C5,0.00008,1.582,4,,,,,
