Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
08.05.23 17:11:13,30.95,158.92,176.74,119.1,146.89,173.94,195.97,110.55,151.38,147.78,168.08,95.41,163.18,101.26,124.57,194.05,187.71,195.01,177.36,166.24,132.42,123.71,184.24,197.88,123.71,,23,965,41,23.93,
08.05.23 17:11:28,31.2,158.92,176.74,118.82,147.49,166.24,196.28,115.1,160.74,145.99,168.7,94.86,162.27,97.08,124.86,194.05,187.08,195.01,177.36,165.93,132.42,123.13,183.61,198.2,122.84,,23,965,41,23.94,
08.05.23 17:11:43,31.45,158.92,177.05,117.96,146.29,154.99,195.97,110.55,159.53,145.99,169.31,94.58,162.57,97.36,124.86,193.41,186.44,193.73,176.74,166.55,131.55,124,182.67,198.2,123.13,,23,965,41,23.95,
08.05.23 17:11:58,31.7,158.62,176.43,117.38,145.1,164.71,195.97,109.42,159.83,146.89,168.08,94.3,161.66,97.08,124,193.1,185.81,195.33,177.67,167.77,130.67,124.57,182.67,198.53,122.55,,23,965,41,23.95,
08.05.23 17:12:13,31.95,158.92,177.05,119.39,144.51,170.24,195.33,111.12,156.5,146.29,168.7,93.47,161.96,98.19,124.28,193.1,186.44,194.69,176.74,167.16,130.09,124.57,183.3,197.88,122.84,,23,965,41,23.95,
08.05.23 17:12:28,32.2,158.62,176.74,118.53,144.8,173.32,195.97,109.13,153.18,146.29,169.31,92.09,161.96,98.19,124,193.73,186.13,194.69,177.05,166.55,129.5,124.86,182.98,197.56,122.27,,23,965,41,23.97,
08.05.23 17:12:43,32.45,158.32,178.61,118.82,143.91,153.78,195.65,108.29,156.2,146.59,169,90.99,161.05,98.19,122.84,193.1,186.44,194.37,176.43,166.24,129.21,124.57,182.98,198.2,121.69,,23,965,41,23.97,
08.05.23 17:12:59,32.72,158.32,179.85,118.24,143.62,153.18,196.28,107.72,158.62,146.29,168.08,90.44,161.96,98.19,122.55,192.78,187.08,195.01,176.74,165.32,128.34,124.57,182.67,198.2,119.39,,23,965,41,23.97,
08.05.23 17:13:14,32.97,158.62,178.92,119.1,142.73,154.69,196.6,106.88,157.41,146.59,168.39,89.34,160.74,104.91,122.27,191.82,186.44,194.37,176.74,165.32,128.63,124.86,182.04,197.56,119.68,,23,965,41,23.98,
08.05.23 17:13:29,33.22,157.71,179.85,119.39,143.02,153.18,196.92,106.88,169.93,146.59,169.62,88.51,161.35,110.27,122.84,193.73,186.76,194.69,176.43,164.71,128.34,125.15,182.04,197.88,117.67,,23,965,41,23.97,
08.05.23 17:13:44,33.47,157.41,180.17,120.25,142.43,154.08,196.28,99.31,157.1,146.89,168.7,86.59,160.14,96.24,123.13,193.41,187.08,194.69,176.74,166.24,128.63,125.44,182.36,197.88,118.24,,23,965,41,23.97,
08.05.23 17:13:59,33.72,158.01,178.92,120.54,142.73,156.5,195.65,98.19,159.83,146.29,169,84.4,160.44,98.19,122.27,192.46,187.08,193.73,176.43,166.55,128.05,126.31,182.67,197.56,117.38,,23,965,41,23.98,
08.05.23 17:14:14,33.97,157.41,177.05,119.1,142.43,154.08,196.6,97.08,159.83,145.4,168.08,84.13,160.14,96.52,122.55,192.78,185.81,195.65,176.43,167.47,128.34,126.6,181.73,198.53,115.95,,23,965,41,23.98,
08.05.23 17:14:29,34.22,156.8,177.05,119.68,142.43,151.38,195.33,96.24,159.53,145.1,168.08,85.22,160.44,96.24,121.98,192.46,185.81,195.97,175.8,167.77,128.05,126.02,181.42,197.56,116.24,,23,965,41,23.98,
08.05.23 17:14:44,34.47,157.41,176.43,119.39,141.54,151.98,196.6,99.86,161.05,145.1,167.47,81.41,160.44,97.36,121.98,193.1,186.13,194.05,175.8,168.08,127.18,126.02,181.73,198.2,114.81,,23,965,41,23.98,
08.05.23 17:14:59,34.72,157.1,175.8,118.53,141.24,152.28,196.92,98.75,157.71,143.91,169.31,80.86,159.83,95.97,122.84,192.46,186.44,194.05,176.12,168.39,121.4,127.76,181.42,197.88,114.53,,23,965,41,24.01,
08.05.23 17:15:15,34.98,156.5,175.18,118.24,141.54,156.2,195.65,96.8,156.8,143.32,168.39,78.96,159.53,93.47,124.86,193.1,185.81,194.37,176.12,168.08,119.1,127.47,181.1,198.2,113.39,,23,965,41,24.01,
08.05.23 17:15:30,35.23,156.8,175.18,119.1,142.43,154.99,196.28,97.08,156.5,143.62,166.24,79.51,158.92,95.13,124.57,192.78,186.44,194.37,171.47,168.39,118.82,127.18,181.73,198.53,113.67,,23,965,41,23.99,
08.05.23 17:15:45,35.48,156.8,173.01,118.53,140.95,154.08,195.65,95.69,156.5,142.73,165.32,79.51,158.92,91.54,124.57,193.1,186.13,194.05,170.24,168.08,117.1,127.18,180.79,197.88,112.82,,23,965,41,24.01,
08.05.23 17:16:00,35.73,157.1,171.78,119.68,140.65,151.98,196.6,95.69,156.8,142.13,166.24,78.15,158.62,93.47,124.57,192.78,186.44,193.73,169.62,168.39,118.24,128.05,181.42,197.88,111.68,,23,965,41,23.99,
08.05.23 17:16:15,35.98,157.1,170.54,118.53,139.18,150.18,195.65,93.47,154.08,142.73,164.4,76.53,159.23,95.97,124,192.46,185.18,194.05,170.24,166.55,116.53,128.34,180.79,197.24,111.4,,23,965,41,24.01,
08.05.23 17:16:30,36.23,158.01,170.24,118.82,140.95,152.58,196.28,92.09,158.62,143.02,165.02,74.91,159.23,92.64,123.71,191.82,186.13,194.37,170.85,167.16,116.24,128.05,180.48,198.53,109.7,,23,965,41,23.99,
08.05.23 17:16:45,36.48,157.71,171.78,118.53,138.88,152.28,195.65,90.44,154.99,142.73,166.55,75.18,158.32,96.24,123.13,191.51,185.5,194.05,171.78,166.55,115.67,128.05,181.1,197.56,109.98,,23,965,41,24.01,
08.05.23 17:17:00,36.73,158.01,171.16,118.53,138.29,152.88,195.65,90.99,154.99,143.02,165.32,74.91,158.62,96.52,121.69,192.78,185.5,194.69,171.16,166.24,116.24,128.05,180.48,198.53,108.85,,23,965,41,24.01,
08.05.23 17:17:16,37,158.01,171.47,118.24,138,156.2,196.28,90.16,154.08,142.73,166.85,73.83,158.32,93.2,124.86,192.14,183.61,194.69,169,165.02,115.38,128.34,180.79,197.56,108.57,,23,965,41,24.01,
08.05.23 17:17:31,37.25,157.71,171.16,117.96,147.78,156.5,196.6,87.69,143.62,148.68,166.85,73.3,158.62,93.2,127.18,192.14,185.18,192.46,166.85,163.79,114.81,128.34,180.79,197.56,108,,23,965,41,23.99,
08.05.23 17:17:46,37.5,157.71,171.16,125.44,145.99,156.5,195.97,84.95,143.32,138.29,166.24,73.56,159.83,89.89,113.11,191.82,185.18,194.69,165.32,162.88,114.53,128.34,179.85,197.88,106.88,,23,965,41,24.01,
08.05.23 17:18:01,37.75,157.71,171.16,126.6,146.59,155.29,195.97,84.13,151.08,138.29,164.1,73.03,159.23,87.14,112.82,191.82,186.13,193.1,164.1,162.57,113.96,128.34,179.23,198.53,106.03,,23,965,41,23.99,
08.05.23 17:18:16,38,157.41,171.16,124.57,147.19,151.98,194.37,80.05,147.49,137.7,163.49,71.69,158.01,86.59,111.12,192.14,184.56,193.1,162.27,162.57,113.96,133.01,178.61,197.24,104.62,,23,965,41,24.01,
08.05.23 17:18:31,38.25,156.5,168.7,124,133.88,149.88,196.6,80.32,144.8,137.7,164.4,71.95,159.53,85.77,111.12,191.82,183.93,192.78,161.05,162.27,113.96,130.09,178.92,197.88,103.5,,23,965,41,24.01,
08.05.23 17:18:46,38.5,156.5,169.93,123.13,134.47,155.89,195.65,79.78,148.98,136.23,163.49,70.08,158.92,100.42,111.68,191.51,182.98,193.41,159.53,161.66,113.11,128.34,178.92,197.88,102.1,,23,965,41,23.99,
08.05.23 17:19:01,38.75,156.2,169.62,121.69,134.47,154.69,195.01,79.23,148.68,135.94,163.79,69.28,157.71,92.64,111.97,191.51,181.73,193.73,158.62,161.35,112.82,127.47,178.29,197.56,101.54,,23,965,41,24.01,
08.05.23 17:19:16,39,155.59,169,120.25,135.06,156.2,195.01,78.69,142.43,137.11,163.49,67.67,158.01,92.37,111.97,191.82,180.79,193.1,158.32,161.05,111.68,126.31,177.67,197.88,100.98,,23,965,41,23.98,
08.05.23 17:19:32,39.27,155.29,169.62,121.11,135.64,159.23,195.33,80.59,141.24,135.64,163.18,67.14,156.8,88.51,117.67,191.51,181.73,192.78,160.14,161.66,112.25,126.6,177.98,197.56,100.42,,23,965,41,23.99,
08.05.23 17:19:47,39.52,155.29,168.39,119.39,135.64,156.8,195.33,79.78,141.54,136.23,162.88,69.81,157.1,92.92,118.24,191.82,179.85,193.73,161.35,162.57,112.54,127.47,177.67,198.53,99.31,,23,965,41,23.98,
08.05.23 17:20:02,39.77,154.69,167.77,117.96,134.18,144.21,194.69,81.41,141.84,135.64,162.57,67.41,157.1,82.22,120.54,191.51,178.92,193.1,162.88,162.57,111.68,126.31,176.43,196.92,99.86,,23,965,41,24.01,
08.05.23 17:20:17,40.02,154.69,168.7,117.67,134.47,142.73,194.37,81.95,141.84,135.64,162.57,64.75,156.5,84.4,122.84,191.19,179.23,194.05,162.88,162.57,110.83,134.76,177.36,197.56,99.58,,23,965,41,23.99,
08.05.23 17:20:32,40.27,154.08,167.16,117.1,134.47,176.43,194.69,76.8,141.54,134.47,162.27,63.95,156.5,84.13,121.69,191.19,180.48,193.1,164.71,163.18,110.55,134.18,176.43,198.2,99.58,,23,965,41,23.99,
08.05.23 17:20:47,40.52,153.18,168.08,115.95,133.3,165.32,195.01,77.61,151.98,134.47,162.27,62.89,155.59,83.04,109.42,190.55,180.17,191.51,164.71,163.49,109.42,133.59,176.74,197.88,99.03,,23,965,41,23.98,
08.05.23 17:21:02,40.77,152.28,168.39,116.24,135.35,156.2,195.01,79.78,140.36,134.76,166.85,60.25,154.69,93.47,116.81,190.87,181.1,193.1,165.93,165.02,108.85,130.09,176.12,197.56,99.31,,23,965,41,23.98,
08.05.23 17:21:17,41.02,152.88,168.7,115.1,133.01,141.84,194.69,74.91,145.7,135.35,162.88,57.61,155.29,96.8,115.1,190.87,181.1,192.78,166.85,165.32,109.42,124.28,174.87,198.2,99.03,,23,965,41,23.98,
08.05.23 17:21:33,41.28,151.98,167.77,115.1,131.84,145.7,195.01,73.03,151.08,134.76,168.7,54.21,153.78,83.58,119.68,190.24,179.23,192.14,167.77,163.18,108,122.55,175.18,196.6,98.47,,23,965,41,23.99,
08.05.23 17:21:48,41.53,151.68,167.77,113.39,131.84,154.99,194.37,73.56,150.18,134.76,160.44,53.68,154.99,87.14,116.24,191.19,179.54,192.46,166.24,161.96,107.72,124.57,174.87,197.24,97.63,,23,965,41,23.98,
