Date/Time;Oxygen;Amp;Tm [°C];p [mbar];Salinity [g/1000g];Error;Oxygen unit
3/6/2023 23:40:39;240.61;17188;23;979;39;0;7
3/6/2023 23:40:54;240.26;17182;23;979;39;0;7
3/6/2023 23:41:09;240.61;17208;23;979;39;0;7
3/6/2023 23:41:24;240.26;17197;23;979;39;0;7
3/6/2023 23:41:39;239.92;17217;23;979;39;0;7
3/6/2023 23:41:55;240.26;17203;23;979;39;0;7
3/6/2023 23:42:10;239.92;17280;23;979;39;0;7
3/6/2023 23:42:25;238.21;17211;23;979;39;0;7
3/6/2023 23:42:40;238.89;17190;23;979;39;0;7
3/6/2023 23:42:55;238.89;17270;23;979;39;0;7
3/6/2023 23:43:10;238.55;17227;23;979;39;0;7
3/6/2023 23:43:25;239.24;17201;23;979;39;0;7
3/6/2023 23:43:40;240.26;17223;23;979;39;0;7
3/6/2023 23:43:56;238.21;17217;23;979;39;0;7
3/6/2023 23:44:11;238.89;17198;23;979;39;0;7
3/6/2023 23:44:26;239.58;17229;23;979;39;0;7
3/6/2023 23:44:41;237.87;17271;23;979;39;0;7
3/6/2023 23:44:56;237.87;17185;23;979;39;0;7
3/6/2023 23:45:11;238.89;17213;23;979;39;0;7
3/6/2023 23:45:26;238.89;17236;23;979;39;0;7
3/6/2023 23:45:41;237.87;17242;23;979;39;0;7
3/6/2023 23:45:56;238.21;17279;23;979;39;0;7
3/6/2023 23:46:11;237.87;17294;23;979;39;0;7
3/6/2023 23:46:27;237.87;17308;23;979;39;0;7
3/6/2023 23:46:42;237.18;17286;23;979;39;0;7
3/6/2023 23:46:57;238.21;17256;23;979;39;0;7
3/6/2023 23:47:12;237.18;17257;23;979;39;0;7
3/6/2023 23:47:27;236.5;17301;23;979;39;0;7
3/6/2023 23:47:42;237.52;17297;23;979;39;0;7
3/6/2023 23:47:57;235.14;17285;23;979;39;0;7
3/6/2023 23:48:12;236.5;17272;23;979;39;0;7
3/6/2023 23:48:27;236.5;17312;23;979;39;0;7
3/6/2023 23:48:42;236.16;17267;23;979;39;0;7
3/6/2023 23:48:57;235.82;17310;23;979;39;0;7
3/6/2023 23:49:12;234.79;17285;23;979;39;0;7
3/6/2023 23:49:28;235.48;17285;23;979;39;0;7
3/6/2023 23:49:43;234.45;17295;23;979;39;0;7
3/6/2023 23:49:58;234.79;17280;23;979;39;0;7
3/6/2023 23:50:13;233.77;17343;23;979;39;0;7
3/6/2023 23:50:28;234.11;17326;23;979;39;0;7
3/6/2023 23:50:43;233.43;17315;23;979;39;0;7
3/6/2023 23:50:58;231.74;17314;23;979;39;0;7
3/6/2023 23:51:13;232.75;17288;23;979;39;0;7
3/6/2023 23:51:28;232.41;17308;23;979;39;0;7
3/6/2023 23:51:43;232.07;17311;23;979;39;0;7
3/6/2023 23:51:58;230.38;17321;23;979;39;0;7
3/6/2023 23:52:13;230.38;17324;23;979;39;0;7
3/6/2023 23:52:29;230.38;17318;23;979;39;0;7
3/6/2023 23:52:44;230.04;17328;23;979;39;0;7
3/6/2023 23:52:59;228.69;17329;23;979;39;0;7
3/6/2023 23:53:14;228.01;17347;23;979;39;0;7
3/6/2023 23:53:29;228.69;17357;23;979;39;0;7
3/6/2023 23:53:44;227.68;17370;23;979;39;0;7
3/6/2023 23:53:59;228.01;17347;23;979;39;0;7
3/6/2023 23:54:14;226.33;17388;23;979;39;0;7
3/6/2023 23:54:29;226.33;17368;23;979;39;0;7
3/6/2023 23:54:44;225.32;17389;23;979;39;0;7
3/6/2023 23:54:59;224.98;17392;23;979;39;0;7
3/6/2023 23:55:15;224.31;17359;23;979;39;0;7
3/6/2023 23:55:30;224.31;17388;23;979;39;0;7
3/6/2023 23:55:45;225.32;17364;23;979;39;0;7
3/6/2023 23:56:00;223.64;17383;23;979;39;0;7
3/6/2023 23:56:15;222.97;17395;23;979;39;0;7
3/6/2023 23:56:30;222.97;17417;23;979;39;0;7
3/6/2023 23:56:45;222.97;17386;23;979;39;0;7
3/6/2023 23:57:00;222.63;17412;23;979;39;0;7
3/6/2023 23:57:15;222.63;17412;23;979;39;0;7
3/6/2023 23:57:30;222.63;17412;23;979;39;0;7
3/6/2023 23:57:45;223.64;17415;23;979;39;0;7
3/6/2023 23:58:00;221.96;17430;23;979;39;0;7
3/6/2023 23:58:16;221.96;17436;23;979;39;0;7
3/6/2023 23:58:31;220.96;17489;23;979;39;0;7
3/6/2023 23:58:46;220.96;17437;23;979;39;0;7
3/6/2023 23:59:01;221.3;17505;23;979;39;0;7
3/6/2023 23:59:16;220.29;17469;23;979;39;0;7
3/6/2023 23:59:31;220.96;17503;23;979;39;0;7
3/6/2023 23:59:46;220.29;17512;23;979;39;0;7
3/7/2023 0:00:01;219.62;17516;23;979;39;0;7
3/7/2023 0:00:16;220.29;17475;23;979;39;0;7
3/7/2023 0:00:31;220.63;17466;23;979;39;0;7
3/7/2023 0:00:46;219.62;17458;23;979;39;0;7
3/7/2023 0:01:01;220.96;17449;23;979;39;0;7
3/7/2023 0:01:17;219.62;17478;23;979;39;0;7
3/7/2023 0:01:32;219.29;17534;23;979;39;0;7
3/7/2023 0:01:47;220.29;17478;23;979;39;0;7
3/7/2023 0:02:02;218.96;17499;23;979;39;0;7
3/7/2023 0:02:17;218.96;17505;23;979;39;0;7
3/7/2023 0:02:32;220.29;17481;23;979;39;0;7
3/7/2023 0:02:47;218.63;17485;23;979;39;0;7
3/7/2023 0:03:02;219.62;17467;23;979;39;0;7
3/7/2023 0:03:17;218.29;17466;23;979;39;0;7
3/7/2023 0:03:32;218.29;17483;23;979;39;0;7
3/7/2023 0:03:47;218.29;17471;23;979;39;0;7
3/7/2023 0:04:02;218.63;17465;23;979;39;0;7
3/7/2023 0:04:18;217.96;17495;23;979;39;0;7
3/7/2023 0:04:33;218.96;17482;23;979;39;0;7
