Date/Time;Oxygen;Amp;Tm [°C];p [mbar];Salinity [g/1000g];Error;Oxygen unit
3/6/2023 23:40:39;228.01;21850;23;979;39;0;7
3/6/2023 23:40:54;227.68;21827;23;979;39;0;7
3/6/2023 23:41:09;226.33;21911;23;979;39;0;7
3/6/2023 23:41:24;226.33;21838;23;979;39;0;7
3/6/2023 23:41:39;226.66;21846;23;979;39;0;7
3/6/2023 23:41:55;227;21823;23;979;39;0;7
3/6/2023 23:42:10;227;21879;23;979;39;0;7
3/6/2023 23:42:25;227.68;21913;23;979;39;0;7
3/6/2023 23:42:40;227;21920;23;979;39;0;7
3/6/2023 23:42:55;226.66;21860;23;979;39;0;7
3/6/2023 23:43:10;225.66;21884;23;979;39;0;7
3/6/2023 23:43:25;227;21877;23;979;39;0;7
3/6/2023 23:43:40;224.98;21914;23;979;39;0;7
3/6/2023 23:43:56;225.66;21850;23;979;39;0;7
3/6/2023 23:44:11;225.66;21913;23;979;39;0;7
3/6/2023 23:44:26;224.98;21891;23;979;39;0;7
3/6/2023 23:44:41;224.98;21922;23;979;39;0;7
3/6/2023 23:44:56;225.99;21793;23;979;39;0;7
3/6/2023 23:45:11;225.32;21845;23;979;39;0;7
3/6/2023 23:45:26;225.32;21856;23;979;39;0;7
3/6/2023 23:45:41;222.63;21837;23;979;39;0;7
3/6/2023 23:45:56;222.63;21908;23;979;39;0;7
3/6/2023 23:46:11;221.96;21923;23;979;39;0;7
3/6/2023 23:46:27;221.63;21896;23;979;39;0;7
3/6/2023 23:46:42;223.3;21873;23;979;39;0;7
3/6/2023 23:46:57;223.64;21856;23;979;39;0;7
3/6/2023 23:47:12;224.31;21792;23;979;39;0;7
3/6/2023 23:47:27;224.65;21843;23;979;39;0;7
3/6/2023 23:47:42;225.66;21805;23;979;39;0;7
3/6/2023 23:47:57;225.32;21791;23;979;39;0;7
3/6/2023 23:48:12;225.66;21790;23;979;39;0;7
3/6/2023 23:48:27;227.34;21805;23;979;39;0;7
3/6/2023 23:48:42;225.99;21730;23;979;39;0;7
3/6/2023 23:48:57;227;21826;23;979;39;0;7
3/6/2023 23:49:12;227;21812;23;979;39;0;7
3/6/2023 23:49:28;228.01;21819;23;979;39;0;7
3/6/2023 23:49:43;228.01;21785;23;979;39;0;7
3/6/2023 23:49:58;227.68;21794;23;979;39;0;7
3/6/2023 23:50:13;227.68;21854;23;979;39;0;7
3/6/2023 23:50:28;228.01;21782;23;979;39;0;7
3/6/2023 23:50:43;228.01;21774;23;979;39;0;7
3/6/2023 23:50:58;228.01;21790;23;979;39;0;7
3/6/2023 23:51:13;228.35;21745;23;979;39;0;7
3/6/2023 23:51:28;228.35;21724;23;979;39;0;7
3/6/2023 23:51:43;228.01;21745;23;979;39;0;7
3/6/2023 23:51:58;227.34;21720;23;979;39;0;7
3/6/2023 23:52:13;228.35;21742;23;979;39;0;7
3/6/2023 23:52:29;228.35;21713;23;979;39;0;7
3/6/2023 23:52:44;228.35;21742;23;979;39;0;7
3/6/2023 23:52:59;228.01;21711;23;979;39;0;7
3/6/2023 23:53:14;228.35;21759;23;979;39;0;7
3/6/2023 23:53:29;227.34;21714;23;979;39;0;7
3/6/2023 23:53:44;228.01;21711;23;979;39;0;7
3/6/2023 23:53:59;228.01;21716;23;979;39;0;7
3/6/2023 23:54:14;228.01;21770;23;979;39;0;7
3/6/2023 23:54:29;228.35;21696;23;979;39;0;7
3/6/2023 23:54:44;228.01;21688;23;979;39;0;7
3/6/2023 23:54:59;227.68;21759;23;979;39;0;7
3/6/2023 23:55:15;227.68;21779;23;979;39;0;7
3/6/2023 23:55:30;228.35;22400;23;979;39;0;7
3/6/2023 23:55:45;228.01;21742;23;979;39;0;7
3/6/2023 23:56:00;228.01;21722;23;979;39;0;7
3/6/2023 23:56:15;228.35;21745;23;979;39;0;7
3/6/2023 23:56:30;227.34;21734;23;979;39;0;7
3/6/2023 23:56:45;228.01;21728;23;979;39;0;7
3/6/2023 23:57:00;227.68;22395;23;979;39;0;7
3/6/2023 23:57:15;227.34;21766;23;979;39;0;7
3/6/2023 23:57:30;227.68;21728;23;979;39;0;7
3/6/2023 23:57:45;228.01;22398;23;979;39;0;7
3/6/2023 23:58:00;227.68;22395;23;979;39;0;7
3/6/2023 23:58:16;228.01;21736;23;979;39;0;7
3/6/2023 23:58:31;227;21746;23;979;39;0;7
3/6/2023 23:58:46;227.34;21703;23;979;39;0;7
3/6/2023 23:59:01;228.01;21793;23;979;39;0;7
3/6/2023 23:59:16;227.34;22398;23;979;39;0;7
3/6/2023 23:59:31;228.01;21722;23;979;39;0;7
3/6/2023 23:59:46;226.66;21818;23;979;39;0;7
3/7/2023 0:00:01;228.01;21717;23;979;39;0;7
3/7/2023 0:00:16;228.01;21708;23;979;39;0;7
3/7/2023 0:00:31;227;21758;23;979;39;0;7
3/7/2023 0:00:46;226.66;21747;23;979;39;0;7
3/7/2023 0:01:01;227.34;21772;23;979;39;0;7
3/7/2023 0:01:17;226.33;21756;23;979;39;0;7
